Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
11.1312, 772432, 
11.1714, 772432, 


Size: o1000000.txt, 
Tempo(ms), Swaps, 
311.841, 7863946, 
312.182, 7863946, 
311.614, 7863946, 
311.98, 7863946, 
330.026, 7863946, 
336.994, 7863946, 
338.26, 7863946, 
333.601, 7863946, 
311.866, 7863946, 
318.34, 7863946, 
311.782, 7863946, 
311.77, 7863946, 
312.125, 7863946, 
312.312, 7863946, 
317.016, 7863946, 
330.202, 7863946, 
337.133, 7863946, 
337.525, 7863946, 
336.839, 7863946, 
312.628, 7863946, 
311.546, 7863946, 
311.782, 7863946, 
312.079, 7863946, 
334.113, 7863946, 
311.957, 7863946, 
312, 7863946, 
311.594, 7863946, 
312.863, 7863946, 
311.762, 7863946, 
319.178, 7863946, 
311.799, 7863946, 
311.667, 7863946, 


Size: o1250000.txt, 
Tempo(ms), Swaps, 
466.114, 9835681, 
461.865, 9835681, 
489.259, 9835681, 
464.581, 9835681, 
457.109, 9835681, 
465.717, 9835681, 
458.044, 9835681, 
467.537, 9835681, 
476.377, 9835681, 
457.684, 9835681, 
456.951, 9835681, 
457.436, 9835681, 
457.972, 9835681, 
492.924, 9835681, 
472.327, 9835681, 
460.669, 9835681, 
485.815, 9835681, 
493.378, 9835681, 
493.207, 9835681, 
458.146, 9835681, 
456.968, 9835681, 
467.699, 9835681, 
457.618, 9835681, 
457.365, 9835681, 
458.428, 9835681, 
466.032, 9835681, 
461.185, 9835681, 
460.618, 9835681, 
459.456, 9835681, 
472.546, 9835681, 
472.155, 9835681, 
461.752, 9835681, 


Size: o15000.txt, 
Tempo(ms), Swaps, 
1.3215, 106309, 
1.3252, 106309, 
1.3124, 106309, 
1.3075, 106309, 
1.3086, 106309, 
1.308, 106309, 
1.3155, 106309, 
1.3112, 106309, 
1.3196, 106309, 
1.3074, 106309, 
1.3083, 106309, 
1.3154, 106309, 
1.3115, 106309, 
1.3311, 106309, 
1.3124, 106309, 
1.3091, 106309, 
1.3144, 106309, 
1.309, 106309, 
1.3115, 106309, 
1.3134, 106309, 
1.3081, 106309, 
1.3119, 106309, 
1.3081, 106309, 
1.3076, 106309, 
1.3131, 106309, 
1.3116, 106309, 
1.3166, 106309, 
1.3092, 106309, 
1.3196, 106309, 
1.3094, 106309, 
1.311, 106309, 
1.3078, 106309, 


Size: o1500000.txt, 
Tempo(ms), Swaps, 
652.903, 11809639, 
676.977, 11809639, 
630.174, 11809639, 
629.812, 11809639, 
629.384, 11809639, 
645.749, 11809639, 
676.462, 11809639, 
679.301, 11809639, 
630.847, 11809639, 
630.211, 11809639, 
630.544, 11809639, 
650.217, 11809639, 
645.321, 11809639, 
631.972, 11809639, 
641.54, 11809639, 
630.461, 11809639, 
636.026, 11809639, 
632.544, 11809639, 
630.514, 11809639, 
629.896, 11809639, 
658, 11809639, 
634.166, 11809639, 
661.585, 11809639, 
657.564, 11809639, 
676.22, 11809639, 
630.512, 11809639, 
630.23, 11809639, 
629.704, 11809639, 
636.124, 11809639, 
