Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.0129, 805, 
0.0128, 805, 
0.0129, 805, 
0.0129, 805, 
0.0129, 805, 
0.0128, 805, 
0.0129, 805, 
0.0128, 805, 
0.0128, 805, 
0.0128, 805, 
0.0128, 805, 
0.0129, 805, 
0.0129, 805, 
0.0193, 805, 


Size: o2000.txt, 
Tempo(ms), Swaps, 
0.1884, 12732, 
0.1796, 12732, 
0.1861, 12732, 
0.1808, 12732, 
0.1858, 12732, 
0.1804, 12732, 
0.1846, 12732, 
0.1856, 12732, 
0.1799, 12732, 
0.186, 12732, 
0.1799, 12732, 
0.191, 12732, 
0.1798, 12732, 
0.186, 12732, 
0.1798, 12732, 
0.1849, 12732, 
0.1858, 12732, 
0.1801, 12732, 
0.1847, 12732, 
0.1796, 12732, 
0.1847, 12732, 
0.1799, 12732, 
0.2069, 12732, 
0.1856, 12732, 
0.1803, 12732, 
0.1861, 12732, 
0.1796, 12732, 
0.1853, 12732, 
0.1794, 12732, 
0.1856, 12732, 
0.1797, 12732, 
0.1852, 12732, 


Size: o200000.txt, 
Tempo(ms), Swaps, 
32.5147, 1675105, 
32.5767, 1675105, 
32.5003, 1675105, 
32.464, 1675105, 
32.529, 1675105, 
32.653, 1675105, 
32.583, 1675105, 
32.5361, 1675105, 
32.6146, 1675105, 
32.5497, 1675105, 
32.836, 1675105, 
33.4804, 1728713, 
33.4611, 1728713, 
33.4997, 1728713, 
33.6366, 1728713, 
33.7354, 1728713, 
33.5534, 1728713, 
33.5126, 1728713, 
34.4424, 1728713, 
34.6413, 1728713, 
34.8068, 1728713, 
34.655, 1728713, 
33.5202, 1728713, 
33.4223, 1728713, 
33.404, 1728713, 
33.4275, 1728713, 
33.4456, 1728713, 
37.676, 1728713, 
33.3263, 1591453, 
32.969, 1591453, 
33.0356, 1591453, 
33.3666, 1591453, 


Size: o2000000.txt, 
Tempo(ms), Swaps, 
1309.25, 12557160, 
1310.13, 12799865, 
1293.83, 12654113, 
1402.49, 12467722, 
1324.94, 12609055, 
1353.01, 12598693, 
1304.47, 12768996, 
1328.61, 12691072, 
1303.35, 12482260, 
1324.94, 12797761, 
1330.91, 12655104, 
1316.85, 12699106, 
1296.34, 12642377, 
1297.91, 12819049, 
1355.72, 12774247, 
1371, 12597471, 
1348.84, 12585636, 
1300.63, 12719637, 
1323.23, 12832471, 
1304.66, 12754284, 
1343.52, 12777831, 
1321.25, 12682551, 
1317.18, 12626533, 
1316.17, 12765677, 
1313.7, 12869226, 
1330.53, 12441351, 
1352.6, 12520541, 
1327.68, 12675117, 
1315.46, 12757838, 
1286.6, 12690842, 
1297.34, 12663284, 
1353.34, 12808492, 


Size: o30000.txt, 
Tempo(ms), Swaps, 
4.0118, 280661, 
4.0636, 280661, 
3.925, 280661, 
4.0864, 280661, 
3.9875, 284804, 
4.0381, 284804, 
4.0693, 284804, 
3.9786, 284804, 
4.0796, 284804, 
4.0107, 284804, 
4.0494, 284804, 
4.03, 284804, 
4.0945, 284804, 
3.9763, 284804, 
4.0056, 284804, 
4.0699, 284804, 
4.061, 284804, 
3.9742, 284804, 
4.0465, 284804, 
4.0575, 284804, 
4.037, 284804, 
4.0277, 284804, 
4.0193, 284804, 
4.0206, 284804, 
4.0075, 284804, 
4.0445, 284804, 
4.0651, 284804, 
3.992, 284804, 
4.0697, 284804, 
4.049, 284804, 
4.0741, 284804, 
4.0114, 284804, 


Size: o500.txt, 
Tempo(ms), Swaps, 
0.0487, 2667, 
0.0411, 2667, 
0.0402, 2667, 
0.0399, 2667, 
0.0399, 2667, 
0.0401, 2667, 
0.04, 2667, 
0.0399, 2667, 
0.0475, 2667, 
0.0399, 2667, 
0.04, 2667, 
0.0397, 2667, 
0.0394, 2667, 
0.0396, 2667, 
0.04, 2667, 
0.0386, 2667, 
0.0388, 2667, 
0.0389, 2667, 
0.0387, 2667, 
0.0455, 2667, 
0.0387, 2667, 
0.039, 2667, 
0.0387, 2667, 
0.0386, 2667, 
0.0387, 2667, 
0.0386, 2667, 
0.0388, 2667, 
0.0452, 2667, 
0.0389, 2667, 
0.0608, 2667, 
0.0401, 2667, 
0.0399, 2667, 


Size: o5000.txt, 
Tempo(ms), Swaps, 
0.5834, 47221, 
0.5952, 47221, 
0.5973, 47221, 
0.5957, 47221, 
0.5976, 47221, 
0.6012, 47221, 
0.6063, 47221, 
0.6001, 47221, 
0.5945, 47221, 
0.6231, 47221, 
0.5902, 47221, 
0.6162, 47221, 
0.5927, 47221, 
0.5982, 47221, 
0.5983, 47221, 
0.5978, 47221, 
0.5964, 47221, 
0.6067, 47221, 
0.6084, 47221, 
0.5961, 47221, 
0.6249, 47221, 
0.5955, 47221, 
0.5969, 47221, 
0.5972, 47221, 
0.605, 47221, 
0.5972, 47221, 
0.5959, 47221, 
0.5992, 47221, 
0.5973, 47221, 
0.5975, 47221, 
0.6112, 47221, 
0.6259, 47221, 


Size: o50000.txt, 
Tempo(ms), Swaps, 
6.9279, 475203, 
6.8764, 475203, 
6.9246, 475203, 
6.8621, 475203, 
6.5804, 475203, 
6.5926, 475203, 
6.5881, 475203, 
6.5872, 475203, 
6.5744, 475203, 
6.5958, 475203, 
6.5917, 475203, 
6.5991, 475203, 
6.5777, 475203, 
