Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.1371, 6130, 


Size: d10000.txt, 
Tempo(ms), Swaps, 
1.6402, 85620, 
1.7037, 91852, 
1.6812, 87032, 
1.6664, 88066, 
1.609, 81508, 
1.6479, 86739, 
1.7681, 90194, 
1.6953, 94169, 
1.6401, 84007, 
1.5985, 76926, 


Size: d100000.txt, 
Tempo(ms), Swaps, 
22.4278, 1111087, 
22.3892, 1093657, 
22.3604, 1089028, 
22.5866, 1105064, 
22.2736, 1073400, 
22.587, 1109921, 
22.3702, 1107144, 
22.7168, 1140484, 
23.1181, 1187064, 
22.7677, 1170630, 


Size: d1000000.txt, 
Tempo(ms), Swaps, 
607.694, 32738677, 
620.663, 36822442, 
608.067, 35319605, 
613.544, 35508821, 
622.102, 37057316, 
604.125, 34903256, 
594.807, 33326110, 
641.663, 39950393, 
605.217, 34709719, 
616.13, 36186557, 


Size: d1250000.txt, 
Tempo(ms), Swaps, 
946.33, 58771343, 
963.761, 60935671, 
874.324, 50158703, 
902.853, 53419748, 
901.841, 52696787, 
1016.38, 61724929, 
935.923, 56286553, 
887.642, 49139660, 
932.684, 56052509, 
876.954, 49410094, 


Size: d15000.txt, 
Tempo(ms), Swaps, 
2.5014, 123930, 
2.5536, 134653, 
2.4819, 120579, 
2.6362, 129730, 
2.565, 132145, 
2.5182, 127068, 
2.5408, 131072, 
2.6212, 141973, 
2.6045, 132094, 
2.6113, 141966, 


Size: d1500000.txt, 
Tempo(ms), Swaps, 
1250.92, 73836686, 
1260.82, 75781347, 
1214.89, 70435882, 
1318.04, 76299683, 
1322.82, 80274548, 
1303.93, 79286103, 
1269.55, 76922906, 
1243.55, 74840726, 
1255.01, 74893340, 
1292.45, 79736698, 


Size: d200.txt, 
Tempo(ms), Swaps, 
0.0261, 1024, 
0.0351, 1165, 
0.024, 910, 
0.0253, 1002, 
0.0245, 930, 
0.0244, 951, 
0.0254, 949, 
0.0241, 972, 
0.0268, 958, 
0.0266, 1197, 


Size: d2000.txt, 
Tempo(ms), Swaps, 
0.3091, 15675, 
